type salida.txt | findstr /C:"NULL"Changed database context to 'WideWorldImporters'.
CategoriaCliente                                   NombreCliente                                                                                        MontoMasAlto                             MontoMasBajo                             MontoPromedio                           
Gift Store                                         Emma Van Zant                                                                                                                        11881.80                                    14.95                              2270.590588
Gift Store                                         Francisca Laureano                                                                                                                   11192.95                                    29.90                              2006.906693
Gift Store                                         Gasper Havzija                                                                                                                       17560.50                                   102.12                              2675.165272
Gift Store                                         Gunnar Lohmus                                                                                                                        25980.80                                    81.65                              3177.917982
Gift Store                                         Harsha Huq                                                                                                                           22299.65                                    28.75                              2846.465652
Gift Store                                         In-Su Bae                                                                                                                            22993.10                                   144.90                              3430.404770
Gift Store                                         Jaroslav Fisar                                                                                                                       16346.10                                   102.12                              4468.631428
Gift Store                                         Jay Bhuiyan                                                                                                                          16508.02                                    88.55                              2423.323100
Gift Store                                         Jayanta Thakur                                                                                                                       25457.55                                    75.21                              2920.805849
Gift Store                                         Laszlo Gardenier                                                                                                                     20175.60                                    44.85                              3775.934166
Gift Store                                         Leyla Siavashi                                                                                                                       17822.70                                    74.75                              2966.628583
Gift Store                                         Liidia Lepp                                                                                                                          22832.10                                    86.25                              2919.213303
Gift Store                                         Lilli Sokk                                                                                                                           17264.95                                   174.80                              2818.929600
Gift Store                                         Lorin Astrom                                                                                                                         12039.35                                    14.95                              2294.731261
Gift Store                                         Mahmut ozbek                                                                                                                         16348.40                                    49.45                              2702.919120
Gift Store                                         Maksims Krastins                                                                                                                     23140.13                                    59.80                              3024.167627
Gift Store                                         Malorie Bousquet                                                                                                                      9923.12                                    48.30                              2189.952845
Gift Store                                         Manca Hrastovsek                                                                                                                     14797.28                                    28.75                              2157.476893
Gift Store                                         Maryann Huddleston                                                                                                                   20125.46                                    44.85                              3083.771858
Gift Store                                         Meera Patel                                                                                                                          15050.63                                    89.70                              2613.252440
Gift Store                                         Milinka Zujovic                                                                                                                      11060.70                                   154.91                              2071.825500
Gift Store                                         Pinja Jantunen                                                                                                                       23256.45                                    55.20                              2636.969291
Gift Store                                         Radha Barua                                                                                                                          12799.50                                    14.95                              2826.046276
Gift Store                                         Rajeev Sandhu                                                                                                                        13603.35                                    94.02                              2424.583730
Gift Store                                         Rani Ganguly                                                                                                                         23748.65                                    98.90                              2939.534655
Gift Store                                         Sercan Celik                                                                                                                         13092.75                                    29.90                              2782.600344
Gift Store                                         Shah Alizadeh                                                                                                                        14356.60                                   184.00                              2485.435000
Gift Store                                         Shantanu Huq                                                                                                                         22490.55                                    28.75                              2814.731954
Gift Store                                         Sointu Savonheimo                                                                                                                    17485.75                                   102.12                              2533.427040
Gift Store                                         Sumati Chatterjee                                                                                                                    24240.62                                   106.38                              3183.992873
Gift Store                                         Sylvie Laramee                                                                                                                       10117.70                                   320.85                              2114.335238
Gift Store                                         Tuulikki Linna                                                                                                                       12954.75                                   104.65                              2750.077073
Gift Store                                         Valentin Tirlea                                                                                                                      14198.59                                    51.75                              2997.841393
Novelty Shop                                       NULL                                                                                                                                 33966.40                                     5.52                              2813.011078
Novelty Shop                                       Abel Spirlea                                                                                                                         18458.65                                   133.40                              2838.961747
Novelty Shop                                       Abel Tatarescu                                                                                                                       14387.65                                    49.45                              2325.180131
Novelty Shop                                       Aishwarya Dantuluri                                                                                                                  12937.50                                    29.90                              3233.821525
Novelty Shop                                       Amarakumaar Gadiyaram                                                                                                                16505.95                                    63.83                              2755.154107
Novelty Shop                                       Anna Gyarmathi                                                                                                                       15752.07                                    89.70                              2958.875100
Novelty Shop                                       Bala Dixit                                                                                                                           13053.65                                    29.90                              2510.835121
Novelty Shop                                       Bhadram Kamasamudram                                                                                                                 23617.09                                   184.00                              2582.028367
Novelty Shop                                       Bimla PrabhupÄda                                                                                                                    24573.20                                    29.90                              2818.634351
Novelty Shop                                       Bishwa Chatterjee                                                                                                                    22811.17                                   104.65                              2772.080518
Novelty Shop                                       Chuan Wattanasin                                                                                                                     22749.30                                    29.90                              2620.409545
Novelty Shop                                       Daakshaayaani Kommineni                                                                                                              24529.50                                   156.40                              2576.386465
